,Latitude,Longitude,Store_Number,Address,Fuel,Num,store,NOP,Phone_Number,Country,State_Province
0,-114.005671,51.262567,Walmart Supercentre,"2881 Main St SW,Airdrie ,AB T4B 3G5,(403) 945-1295",None,1050,walmart supercentre,0,(403) 945-1295,Canada,AB
1,-111.900542,50.577939,Walmart Supercentre,"917 3rd St W,Brooks ,AB T1R 1L5,(403) 793-2111",None,3658,walmart supercentre,0,(403) 793-2111,Canada,AB
2,-114.039133,51.107253,Walmart Supercentre,"1110 57th Ave NE,Calgary ,(NOP),AB T2E 9B7,(403) 730-0990",None,3013,walmart supercentre,1,(403) 730-0990,Canada,AB
3,-114.138488,51.040871,Walmart Supercentre,"1212 37 St SW,Calgary ,(NOP),AB T3C 1S3,(403) 242-2205",Gas,3009,walmart supercentre,1,(403) 242-2205,Canada,AB
4,-114.028603,50.930551,Walmart,"1221 Canyon Meadows Dr SE,Calgary ,AB T2J 6G2,(403) 225-6638",None,1144,walmart,0,(403) 225-6638,Canada,AB
5,-113.91159,51.04009,Walmart Supercentre,"255 E Hills Blvd SE,Calgary ,AB T2A 4X7,(403) 387-0850",None,1136,walmart supercentre,0,(403) 387-0850,Canada,AB
6,-114.145518,51.1757,Walmart Supercentre,"35 Sage Hill Gate NW,Calgary ,AB T3R 0S4,(587) 230-8411",None,1097,walmart supercentre,0,(587) 230-8411,Canada,AB
7,-113.989925,51.053615,Walmart Supercentre,"3800 Memorial Dr NE,Calgary ,(NOP),AB T2A 2K2,(403) 235-2352",None,3012,walmart supercentre,1,(403) 235-2352,Canada,AB
8,-113.966699,50.930235,Walmart Supercentre,"4705 130th Ave,Calgary ,AB T2Z 4J2,(403) 726-0430",None,3650,walmart supercentre,0,(403) 726-0430,Canada,AB
9,-114.142114,51.097447,Walmart,"5005 Northland Dr NW,Calgary ,(NOP),AB T2L 2K1,(403) 247-8585",Gas,3011,walmart,1,(403) 247-8585,Canada,AB
10,-114.039281,50.984422,Walmart Supercentre,"7979 11 St SE,Calgary ,(NOP),AB T2H 0B8,(403) 301-2051",None,1089,walmart supercentre,1,(403) 301-2051,Canada,AB
11,-114.213235,51.152812,Walmart Supercentre,"8888 Country Hills Blvd #200,Calgary ,(NOP),AB T3G 5T4,(403) 567-1502",None,5726,walmart supercentre,1,(403) 567-1502,Canada,AB
12,-114.070155,50.966056,Walmart Supercentre,"9650 Macleod Trail,Calgary ,(NOP),AB T2J 0P7,(403) 258-3988",Gas,3010,walmart supercentre,1,(403) 258-3988,Canada,AB
13,-112.859721,53.019324,Walmart Supercentre,"6800 48th Ave,Camrose ,AB T4V 4T1,(780) 608-1211",None,3181,walmart supercentre,0,(780) 608-1211,Canada,AB
14,-114.471376,51.186312,Walmart Supercentre,"15 Quarry St W,Cochrane ,AB T4C 0W5,(403) 851-3040",None,1135,walmart supercentre,0,(403) 851-3040,Canada,AB
15,-110.20215,54.408152,Walmart Supercentre,"4702 43 Ave,Cold Lake ,AB T9M 1M9,(780) 840-2340",None,3640,walmart supercentre,0,(780) 840-2340,Canada,AB
